video_id,title
zDbApBI7UpE,Longest Strictly Increasing or Strictly Decreasing Subarray - Leetcode 3105 - Python
-N4_SJ9hUdY,Check if One String Swap Can Make Strings Equal - Leetcode 1790 - Python
f_u_9ixrktQ,Clear Digits - Leetcode 3174 - Python
ur0srHvM1cA,Apply Operations to an Array - Leetcode 2460 - Python
5MT4KsvOXYs,Merge Two 2D Arrays by Summing Values - Leetcode 2570 - Python
LQGmWiDuTw8,Find Missing and Repeated Values - Leetcode 2965 - Python
cWz4_zUegxE,Minimum Recolors to Get K Consecutive Black Blocks - Leetcode 2379
vxcpdClAktE,Divide Array Into Equal Pairs - Leetcode 2206 - Python
yTTtuxccFdU,Count Good Triplets - Leetcode 1534 - Python
sFY_14A28x0,Maximum Value of an Ordered Triplet I - Leetcode 2873 - Python
HToBFhTa1uQ,Sum of All Subsets XOR Total - Leetcode 1863 - Python
m7U90fpD2j0,Valid Word Abbreviation - Leetcode 408 - Python
SxoWfYjjRag,Smallest Number With All Set Bits - Leetcode 3370 - Python
Wwml2yq-qH4,The Two Sneaky Numbers of Digitville - Leetcode 3289 - Python
z65oMfaCSAQ,Find X-Sum of All K-Long Subarrays I - Leetcode 3318 Python
PZb41vsgo9E,Count Operations to Obtain Zero - Leetcode 2169 - Python
pRyFZIaKegA,Removing Stars From a String - Leetcode 2390 - Python
AeHMvcKuR0Y,Minimize Maximum of Array - Leetcode 2439 - Python
CKZPdiXiQf0,Optimal Partition of String - Leetcode 2405 - Python
OKnm5oyAhWg,Successful Pairs of Spells and Potions - Leetcode 2300 - Python
X8k48xek8g8,Number of Closed Islands - Leetcode 1254 - Python
gf0zsh1FIgE,Number of Enclaves - Leetcode 1020 - Python
G-EWVGCcL_w,Number of Zero-Filled Subarrays - Leetcode 2348 - Python
K7-mXA0irhY,Minimum Score of a Path Between Two Cities - Leetcode 2492 - Python
6st4IxEF-90,Accounts Merge - Leetcode 721 - Python
kMzJy9es7Hc,Find Peak Element - Leetcode 162 - Python
olbiZ-EOSig,Check Completeness of a Binary Tree - Leetcode 958 - Python
vm63HuIU7kw,Construct Binary Tree from Inorder and Postorder Traversal - Leetcode 106 - Python
MsYZSinhuFo,Sort an Array - Leetcode 912 - Python
UQ-1sBMV0v4,Construct Quad Tree - Leetcode 427 - Python
V_iHUhR8Dek,Longest Turbulent Array - Leetcode 978 - Python
doj95MelfSA,Maximum Twin Sum of a Linked List - Leetcode 2130 - Python
gdXkkmzvR3c,Last Stone Weight II - Leetcode 1049 - Python
kn0Z5_qPPzY,Find Duplicate Subtrees - Leetcode 652 - Python
miZ3qV04b1g,Ones and Zeroes - Leetcode 474 - Python
ycAq8iqh0TI,Remove Duplicates from Sorted Array II - Leetcode 80 - Python
ER_oLmdc-nw,Capacity to Ship Packages - Leetcode 1011 - Python
HGtqdzyUJ3k,Single Element in a Sorted Array - Leetcode 540 - Python
cEW05ofxhn0,Course Schedule IV - Leetcode 1462 - Python
igbboQbiwqw,Binary Tree Zigzag Level Order Traversal - Leetcode 103 - Python
d3UOz7zdE4I,Unique Paths II - Leetcode 63 - Python
kPsDTGcrzGM,Path with Maximum Probability - Leetcode 1514 - Python
69rcy6lb-HQ,Shortest Path with Alternating Colors - Leetcode 1129 - Python
I3lnDUIzIG4,Minimum Fuel Cost to Report to the Capital - Leetcode 2477 - Python
fjxb1hQfrZk,As Far from Land as Possible - Leetcode 1162 - Python
D8B4tKxMTnY,Number of Subarrays of size K and Average Greater than or Equal to Threshold - Leetcode 1343 Python
yYtaV0G3mWQ,Fruits into Basket - Leetcode 904 - Python
Cpg8f79luEA,Insert into a Binary Search Tree - Leetcode 701 - Python
LFzAoJJt92M,Delete Node in a BST - Leetcode 450 - Python
YnxUdAO7TAo,Shortest Path in a Binary Matrix - Leetcode 1091 - Python
7kURH3btcV4,Best Team with no Conflicts - Leetcode 1626 - Python
AZA8orksO4w,Find Closest Node to Given Two Nodes - Leetcode 2359 - Python
fxT9KjakYPM,Maximum Sum Circular Subarray - Leetcode 918 - Python
tMq9z5k3umQ,Flip String to Monotone Increasing - Leetcode 926 - Python
Wf4QhpdVFQo,Design Linked List - Leetcode 707 - Python
Xdt5Z583auM,Minimum Time to Collect All Apples in a Tree - Leetcode 1443 - Python
i1G-kKnBu8k,Design Browser History - Leetcode 1472 - Python
mzua0r94kb8,Validate Stack Sequences - Leetcode 946 - Python
bUr8cNWI09Q,Longest Palindromic Subsequence - Leetcode 516 - Python
zZA5KskfMuQ,Dota2 Senate - Leetcode 649 - Python
kEfPSzgL-Ss,Maximum Number of Vowels in a Substring of Given Length - Leetcode 1456 - Python
RvLrWFBJ9fM,Spiral Matrix II - Leetcode 59 - Python
mnJF4vJ7GyE,Uncrossed Lines - Leetcode 1035 - Python
D7TD_ArkfkA,Solving Questions With Brainpower - Leetcode 2140 - Python
JKpVHG2mhbk,Count Ways to Build Good Strings - Leetcode 2466 - Python
4LsrgMyQIjQ,Swapping Nodes in a Linked List - Leetcode 1721 - Python
TLzcum7vrTc,Minimum Number of Vertices to Reach all Nodes - Leetcode 1557 - Python
mev55LTubBY,Is Graph Bipartite? - Leetcode 785 - Python
Uei1fwDoyKk,Evaluate Division - Leetcode 399 - Python
ax1DKi5lJwk,Maximum Subsequence Score - Leetcode 2542 - Python
zKi4LzjK27k,New 21 Game - Leetcode 837 - Python
I-z-u0zfQtg,Stone Game II - Leetcode 1140 - Python
W5QOLqXskZM,Design Underground System  - Leetcode 1396 - Python
8NPbAvVXKR4,Detonate the Maximum Bombs - Leetcode 2101 - Python
zdBYi0p4L5Q,Time Needed to Inform All Employees - Leetcode 1376 - Python
m907FlQa2Yc,Unique Binary Search Trees II - Leetcode 95 - Python
lf1Pxg7IrzQ,Minimize the Maximum Difference of Pairs - Leetcode 2616 - Python
oUnF7o88_Xc,Search in Rotated Sorted Array II - Leetcode 81 - Python
OxXPiwWFdTI,Check if There is a Valid Partition For The Array - Leetcode 2369 - Python
LcNNorqMVTw,Maximum Length of Pair Chain - Leetcode 646 - Python
0d7ShRoOFVE,Minimum Penalty for a Shop - Leetcode 2483 - Python
ONstwO1cD7c,Extra Characters in a String - Leetcode 2707 - Python
-OTlqdrxrVI,Split Linked List in Parts - Leetcode 725 - Python
h8AZEN49gTc,Minimum Deletions to Make Character Frequencies Unique - Leetcode 1647 - Python
XQlxCCx2vI4,Path with Minimum Effort - Leetcode 1631 - Python
xumn16n7njs,Minimum Operations to Reduce X to Zero - Leetcode 1658 - Python
7b0V1gT_TIk,Longest String Chain - Leetcode 1048 - Python
LQ8TuG_QADM,Champagne Tower - Leetcode 799 - Python
T54GScWobZ4,Remove Colored Pieces if Both Neighbors are the Same Color - Leetcode 2038 - Python
Eua-UrQ_ANo,Majority Element II - Leetcode 229 - Python
Mw67DTgUEqk,Validate Binary Tree Nodes - Leetcode 1361 - Python
4ILiBgLokM8,Flatten Nested List Iterator - Leetcode 341 - Python
wB9JOh7Z_cY,Find Largest Value in Tree Row - Leetcode 515 - Python
pmD2HCKaqRQ,K-th Symbol in Grammar - Leetcode 779 - Python
o_hVl8IXuIE,Maximum Element After Decreasing and Rearranging - Leetcode 1846 - Python
3nkc-e66JmA,Sum of Absolute Differences in a Sorted Array - Leetcode 1685 - Python
NYyIVuSCfOA,Largest Submatrix With Rearrangements - Leetcode 1727 - Python
vlsUUm_qqsY,Knight Dialer - Leetcode 935 - Python
Ikp8SgbgbEo,Design a Food Rating System - Leetcode 2353 - Python
6XnvNCTyJP4,Wildest Vertical Area Between Two Points Containing No Points - Leetcode 1637 - Python
hfUxjdjVQN4,Number of Dice Rolls with Target Sum - Leetcode 1155 - Python
9_9jwd2DHMU,Minimum Time To Make Rope Colorful - Leetcode 1578 - Python
KLeKv59LAFY,Number of Laser Beams in a Bank - Leetcode 2125 - Python
_AcO35R0fss,Minimum Numbers of Operations to Make Array Empty - Leetcode 2870 - Python
b_F3mz9l-uQ,Minimum Falling Path Sum - Leetcode 931 - Python
aX1F2-DrBkQ,Sum of Subarray Minimums - Leetcode 907 - Python
MBsSpQnaFzg,Pseudo-Palindromic Paths in a Binary Tree - Leetcode 1457 - Python
Bg5CLRqtNmk,Out of Boundary Paths - Leetcode 576 - Python
XleOio1oJeo,Divide Array Into Arrays With Max Difference - Leetcode 2966 - Python
Q-ca65wRJyI,Sequential Digits - Leetcode 1291 - Python
kWhy4ZUBdOY,Partition Array for Maximum Sum - Leetcode 1043 - Python
OXdXc9HTrIg,Sort Characters By Frequency - Leetcode 451 - Python
LeRU6irRoW0,Largest Divisible Subset - Leetcode 368 - Python
SoPmcGzz9-E,Rearrange Array Elements by Sign - Leetcode 2149 - Python
Yk9Mor-Y488,Find Polygon with the Largest Perimeter - Leetcode 2971 - Python
Nsp_ta7SlEk,Least Number of Unique Integers after K Removal - Leetcode 1481 - Python
zyTeznvXCtg,Furthest Building You Can Reach - Leetcode 1642 - Python
R3T0olAhUq0,Bitwise AND of Numbers Range - Leetcode 201 - Python
FkNWN1Fj_TY,Even Odd Tree - Leetcode 1609 - Python
prI82maTivg,Bag of Tokens - Leetcode 948 - Python
318hrWVr_5U,Minimum Length of String after Deleting Similar Ends - Leetcode 1750 - Python
j4JDr4-jvo4,Binary Subarrays with Sum - Leetcode 930 - Python
agB1LyObUNE,Contiguous Array - Leetcode 525 - Python
lPmkKnvNPrw,Minimum Number of Arrows to Burst Balloons - Leetcode 452 - Python
pI775VutBxg,Merge in Between Linked Lists - Leetcode 1669 - Python
Y8x0iAVEITo,Find All Duplicates in an Array - Leetcode 442 - Python
Cg6_nF7YIks,Subarray Product Less Than K - Leetcode 713 - Python
W_KYZGp2QzU,Length of Longest Subarray With at Most K Frequency - Leetcode 2958 - Python
CZ-z1ViskzE,Count Subarrays Where Max Element Appears at Least K Times - Leetcode 2962 - Python
mgQ4O9iUEbg,Minimum Remove to Make Valid Parentheses - Leetcode 1249 - Python
i2QrUdwWlak,Reveal Cards In Increasing Order - Leetcode 950 - Python
UvdWfxQ_ZDs,Smallest String Starting From Leaf - Leetcode 988 - Python
wQGQnyv_9hI,Minimum Height Trees - Leetcode 310 - Python
gR1E2oLQYSY,Longest Ideal Subsequence - Leetcode 2370 - Python
y783sRTezDg,Remove Nodes From Linked List - Leetcode 2487 - Python
FbhzRA5den8,Score After Flipping Matrix - Leetcode 861 - Python
I1wllM_pozY,Path with Maximum Gold - Leetcode 1219 - Python
-5mQcNiVWTs,Find the Safest Path in a Grid - Leetcode 2812 - Python
FqAoYAwbwV8,Delete Leaves With a Given Value - Leetcode 1325 - Python
YfdfIOeV_RU,Distribute Coins in Binary Tree - Leetcode 979 - Python
Dle_SpjHTio,The Number of Beautiful Subsets - Leetcode 2597 - Python
3lsT1Le526U,Get Equal Substrings Within Budget - Leetcode 1208 - Python
qxt7_HD8Cag,Number of Steps to Reduce a Number in Binary Representation to One - Leetcode 1404 - Python
e4Yx9KjqzQ8,Count Triplets That Can Form Two Arrays of Equal XOR - Leetcode 1442 - Python
faoVORjd-T8,Single Number III - Leetcode 260 - Python
gKDmO8ZLRD8,Append Characters to Strings to Make Subsequence - Leetcode 2486 - Python
bcXy-T4Sc3E,Subarray Sums Divisible by K - Leetcode 974 - Python
XPPs2Wj2YSk,Minimum Increment to Make Array Unique - Leetcode 945 - Python
B0UrG_X2faA,Sum of Square Numbers - Leetcode 633 - Python
pXFbNuEIn8Q,Grumpy Bookstore Owner - Leetcode 1052 - Python
4zNK0rhFfcA,Count Number of Nice Subarrays - Leetcode 1248 - Python
V-ecDfY5xEw,Longest Continuous Subarray with Absolute Diff Less than or Equal to Limit - Leetcode 1438 - Python
FZe0UqISmUw,Permutations - Leetcode 46 - Python
NIhXLEiQAPM,Maximum Total Importance of Roads - Leetcode 2285 - Python
S6cUjbQuTnE,Minimum Difference Between Largest and Smallest Value in Three Moves - Leetcode 1509 - Python
jrSav7fulJY,Merge Nodes in Between Zeros - Leetcode 2181 - Python
UddDgt52h9g,Find the Minimum and Maximum Number of Nodes Between Critical Points - Leetcode 2058 - Python
PBBQgW_75e0,Find the Winner of the Circular Game - Leetcode 1823 - Python
2fN7uIgCIBA,Average Waiting Time - Leetcode 1701 - Python
n_pCJmg-RyU,Reverse Substrings Between Each Pair of Parentheses - Leetcode 1190 - Python
r_3a0oG1VcY,Maximum Score From Removing Substrings - Leetcode 1717 - Python
yWkrFfqO7NA,Create Binary Tree from Descriptions - Leetcode 2196 - Python
JegJNGcwtFg,Step-By-Step Directions from a Binary Tree Node to Another - Leetcode 2096 - Python
UhKu0q1yXHY,Delete Nodes And Return Forest - Leetcode 1110 - Python
f_epkBeS1LQ,Number of Good Leaf Nodes Pairs - Leetcode 1530 - Python
Ks6fGnXkHPg,Find Valid Matrix Given Row and Column Sums - Leetcode 1605 - Python
rmkF2mxPoZM,Sort the Jumbled Numbers - Leetcode 2191 - Python
--wKPR3ByJc,Find the City With the Smallest Number of Neighbors at a Threshold Distance - Leetcode 1334 - Python
AVJhazQsNms,Minimum Cost to Convert String I - Leetcode 2976 - Python
zONHzIqCr-o,Count Number of Teams - Leetcode 1395 - Python
WDStNufBUQ8,Minimum Deletions to Make String Balanced - Leetcode 1653 - Python
lFYPPPTp8qE,Filling Bookcase Shelves - Leetcode 1105 - Python
BueoreUIkcE,Minimum Swaps to Group All 1's Together II - Leetcode 2134 - Python
7XTGlO6b16A,Range Sum of Sorted Subarray Sums - Leetcode 1508 - Python
gvaYi6X6SQw,Minimum Number of Pushes to Type Word II - Leetcode 3016 - Python
Xf5Zm5Y8PKM,Spiral Matrix III - Leetcode 885 - Python
FV52wWrivNc,Magic Squares In Grid - Leetcode 840 - Python
j8KrBYIxHK8,Regions Cut By Slashes - Leetcode 959 - Python
FOyRpNUSFeA,Combination Sum II - Leetcode 40 - Python
J0yYlj_oVTI,Maximum Distance in Arrays - Leetcode 624 - Python
ik1y7fz8AOc,Maximum Number of Points with Cost - Leetcode 1937 - Python
1pj2a5bmziY,Ugly Number II - Leetcode 264 - Python
jNfZH3mdjOA,2 Keys Keyboard - Leetcode 650 - Python
wpglWC6mnLg,Walking Robot Simulation - Leetcode 874 - Python
unIz8W9nuyk,Find Missing Observations - Leetcode 2028 - Python
3xZuqYD3EYA,Delete Nodes From Linked List Present in Array - Leetcode 3217 - Python
OaA9MgG00AE,Linked List in Binary Tree - Leetcode 1367 - Python
sOV1nRhmsMQ,Spiral Matrix IV - Leetcode 2326 - Python
SS_IlBrocYQ,Insert Greatest Common Divisors in Linked List - Leetcode 2807 - Python
1Q4lxfSlbPs,XOR Queries of a Subarray - Leetcode 1310 - Python
N8lRlRWA_1Q,Longest Subarray With Maximum Bitwise AND - Leetcode 2419 - Python
o17MBWparrI,Find the Longest Substring Containing Vowels in Even Counts - Leetcode 1371 - Python
LVBDzeUmNIQ,Minimum Time Difference - Leetcode 539 - Python
cykVFFm5D3s,Different Ways to Add Parentheses - Leetcode 241 - Python
QihtII-FvLo,Lexicographical Numbers - Leetcode 386 - Python
06dIUJwdHlQ,Find the Length of the Longest Common Prefix - Leetcode 3043 - Python
fIxck3tlId4,My Calendar I - Leetcode 729 - Python
7utL5cTDcnA,My Calendar II - Leetcode 731 - Python
cueOpK5QMEA,Divide Players Into Teams of Equal Skill - Leetcode 2491 - Python
tkLM-ClhwWM,Sentence Similarity III - Leetcode 1813 - Python
UizI7R6ND9Q,Minimum Add to Make Parentheses Valid - Leetcode 921 - Python
3pTEJ1vzgSI,Maximum Width Ramp - Leetcode 962 - Python
LqhxcaCctCc,The Number of the Smallest Unoccupied Chair - Leetcode 1942 - Python
FVjKrhdMutc,Divide Intervals Into Minimum Number of Groups - Leetcode 2406 - Python
fiEXkZLwXGQ,Maximal Score After Applying K Operations - Leetcode 2530 - Python
4FZtJ8420m8,Maximum Swaps - Leetcode 670 - Python
-VVN0FI0KFo,Separate Black and White Balls - Leetcode 2938 - Python
_wBj3IMV7tY,Count Number of Maximum Bitwise-OR Subsets - Leetcode 2044 - Python
Sh-IqBIg9dU,Kth Largest Sum in a Binary Tree - Leetcode 2583 - Python
h9DOEqeb_ZA,Find Kth Bit in Nth Binary String - Leetcode 1545 - Python
WDDLp2l9TrM,Remove Sub-Folders from the Filesystem - Leetcode 1233 - Python
fLjeVALxzjg,Split a String Into the Max Number of Unique Substrings - Leetcode 1593 - Python
xvwTd19SncE,Cousins in Binary Tree II - Leetcode 2641 - Python
5Li-cR5h_uw,Count Square Submatrices with All Ones - Leetcode 1277 - Python
qhxhrTA4HJw,Minimum Number of Changes to Make Binary String Beautiful - Leetcode 2914 - Python
OpOPUeGFjxE,Find if Array Can Be Sorted - Leetcode 3011 - Python
rUYfBldVqLY,Largest Combination With Bitwise AND Greater Than Zero - Leetcode 2275 - Python
FlSS5reeFyE,Maximum XOR for Each Query - Leetcode 1829 - Python
GKSSr2xkR8A,Minimized Maximum of Products Distributed to Any Store - Leetcode 2064 - Python
4pP-0UpEok4,Minimum Array End - Leetcode 3133 - Python
Bq_BEsgBQOs,Shortest Subarray With OR at Least K II - Leetcode 3097 - Python
G9cp9y45qEs,Prime Subtraction Operation - Leetcode 2601 - Python
kybir7n8JJg,Most Beautiful Item for Each Query - Leetcode 2070 - Python
TjthKf7Mc_8,Count the Number of Fair Pairs - Leetcode 2563 - Python
eHZLQIH1ruk,Shortest Subarray to be Removed to Make Array Sorted - Leetcode 1574 - Python
LZr1w0LVzFw,Rotating the Box - Leetcode 1861 - Python
67QUp_zOIFg,Find the Power of K-Size Subarrays I - Leetcode 3254 - Python
pT-lOE1on3M,Maximum Sum of Distinct Subarrays With Length K - Leetcode 2461 - Python
zCeZOyACpUQ,Shortest Distance After Road Addition Queries I - Leetcode 3243 - Python
QzcxeJZByNM,Take K of Each Character From Left and Right - Leetcode - Python
XonYlqE049I,Maximum Matrix Sum - Leetcode 1975 - Python
3WVHdSWHxxQ,Count Unguarded Cells in the Grid - Leetcode 2257 - Python
MsdLjL87BEo,Flip Columns For Maximum Number of Equal Rows - Leetcode 1072 - Python
HjSmSLPR7S4,Find Champion II - Leetcode 2924 - Python
jziDtPZJ4fw,Adding Spaces to a String - Leetcode 2109 - Python
x29QnzSBFVI,Maximum Beauty of an Array After Applying Operation - Leetcode 2779 - Python
Um9_VT78nfg,Construct String With Repeat Limit - Leetcode 2182 - Python
wpHzXTkuVkY,Max Chunks To Make Sorted - Leetcode 769 - Python
3x3JoCb8-tU,Reverse Odd Levels of Binary Tree - Leetcode 2415 - Python
6mONZ_54rZg,Minimum Number of Operations to Sort a Binary Tree by Level - Leetcode 2471 - Python
YAYnMfHbjz4,Best Sightseeing Pair - Leetcode 1014 - Python
dwMOrl85Xes,Target Sum - Leetcode 494 - Python
QQoIiY4K-M0,Count Ways To Build Good Strings - Leetcode 2466 - Python
4Kww-zIkWWY,Minimum Cost For Tickets - Leetcode 983 - Python
JK_zuiNYJOQ,Number of Ways to Split Array - Leetcode 2270 - Python
ZmH3gHiIqfI,Minimum Number of Operations to Move All Balls to Each Box - Leetcode 1769 - Python
TLJd7W-z-yc,Count Vowel Strings in Ranges - Leetcode 2559 - Python
eEUjVY7wK3k,Shifting Letters II - Leetcode 2381 - Python
2JG5rLM3vz8,Unique Length-3 Palindromic Subsequences - Leetcode 1930 - Python
D00qGvqmqN0,Construct K Palindrome Strings - Leetcode 1400 - Python
KMIIGDiXLhY,Check if a Parentheses String Can Be Valid - Leetcode 2116 - Python
f-R9dqsI_FI,Minimum Length of String After Operations - Leetcode 3223 - Python
H9zVwDf6Frk,Bitwise XOR of All Pairings - Leetcode 2425 - Python
xhD78PX8Nss,Minimize XOR - Leetcode 2429 - Python
d2ntGf2tSDI,Neighboring Bitwise XOR - Leetcode 2683 - Python
wYoZMBenHYY,Course Schedule IV - Leetcode 1462 - Python
B90kG-ZlptE,Grid Game - Leetcode 2017 - Python
Xhqo5_SPJa8,First Completely Painted Row or Column - Leetcode 2661 - Python
cQRZ202j-kA,Map of Highest Peak - Leetcode 1765 - Python
meTbkgqNNYM,Count Servers that Communicate - Leetcode 1267 - Python
wciKkM3g3wQ,Find Eventual Safe States - Leetcode 802  - Python
-FGl6dzPexY,Make Lexicographically Smallest Array by Swapping Elements - Leetcode 2948 - Python
JhAz6CkRGHI,Maximum Number of Fish in a Grid - Leetcode 2658 - Python
SSwvMoOhiq0,Tuple with Same Product - Leetcode 1726 - Python
1lNK80tOTfc,Redundant Connection - Leetcode 684 - Python
